Thu Feb 14 04:12:24 UTC 2019  203  63  82  
Thu Feb 14 04:12:36 UTC 2019  202  89  44  
Thu Feb 14 04:12:48 UTC 2019  203  84  88  
Thu Feb 14 04:13:00 UTC 2019  203  70  65  
Thu Feb 14 04:13:12 UTC 2019  203  26  50  
Thu Feb 14 04:13:24 UTC 2019  203  26  33  
Thu Feb 14 04:13:35 UTC 2019  203  38  47  
Thu Feb 14 04:13:47 UTC 2019  203  43  46  
Thu Feb 14 04:13:58 UTC 2019  202  33  54  
Thu Feb 14 04:14:10 UTC 2019  203  33  31  
Thu Feb 14 04:14:21 UTC 2019  203  21  41  
Thu Feb 14 04:14:32 UTC 2019  203  36  40  
Thu Feb 14 04:14:44 UTC 2019  203  38  38  
Thu Feb 14 04:14:55 UTC 2019  203  31  18  
Thu Feb 14 04:15:06 UTC 2019  203  36  44  
Thu Feb 14 04:15:17 UTC 2019  203  28  41  
Thu Feb 14 04:15:29 UTC 2019  203  35  38  
Thu Feb 14 04:15:40 UTC 2019  203  33  31  
Thu Feb 14 04:15:51 UTC 2019  202  22  26  
Thu Feb 14 04:16:03 UTC 2019  203  31  42  
Thu Feb 14 04:16:14 UTC 2019  203  22  29  
Thu Feb 14 04:16:25 UTC 2019  203  26  26  
Thu Feb 14 04:16:36 UTC 2019  203  33  42  
Thu Feb 14 04:16:48 UTC 2019  202  38  19  
Thu Feb 14 04:16:59 UTC 2019  203  31  18  
Thu Feb 14 04:17:10 UTC 2019  203  30  36  
Thu Feb 14 04:17:21 UTC 2019  203  31  29  
Thu Feb 14 04:17:32 UTC 2019  203  33  36  
Thu Feb 14 04:17:44 UTC 2019  203  46  58  
Thu Feb 14 04:17:55 UTC 2019  202  27  21  
Thu Feb 14 04:18:06 UTC 2019  203  21  40  
Thu Feb 14 04:18:17 UTC 2019  203  33  38  
Thu Feb 14 04:18:29 UTC 2019  203  29  45  
Thu Feb 14 04:18:40 UTC 2019  203  38  45  
Thu Feb 14 04:18:51 UTC 2019  202  28  31  
Thu Feb 14 04:19:02 UTC 2019  203  28  50  
Thu Feb 14 04:19:14 UTC 2019  203  25  33  
Thu Feb 14 04:19:25 UTC 2019  203  27  38  
Thu Feb 14 04:19:36 UTC 2019  203  33  27  
Thu Feb 14 04:19:47 UTC 2019  203  20  44  
Thu Feb 14 04:19:59 UTC 2019  202  33  37  
Thu Feb 14 04:20:10 UTC 2019  203  66  81  
Thu Feb 14 04:20:23 UTC 2019  203  67  75  
Thu Feb 14 04:20:35 UTC 2019  203  89  65  
Thu Feb 14 04:20:48 UTC 2019  203  68  79  
Thu Feb 14 04:21:01 UTC 2019  203  72  63  
Thu Feb 14 04:21:14 UTC 2019  202  57  55  
Thu Feb 14 04:21:26 UTC 2019  202  60  63  
Thu Feb 14 04:21:38 UTC 2019  203  88  52  
Thu Feb 14 04:21:50 UTC 2019  203  93  82  
Thu Feb 14 04:22:03 UTC 2019  203  86  89  
Thu Feb 14 04:22:15 UTC 2019  203  64  81  
Thu Feb 14 04:22:28 UTC 2019  203  71  67  
Thu Feb 14 04:22:41 UTC 2019  203  67  77  
Thu Feb 14 04:22:53 UTC 2019  203  79  90  
Thu Feb 14 04:23:06 UTC 2019  203  72  76  
Thu Feb 14 04:23:19 UTC 2019  203  65  75  
Thu Feb 14 04:23:32 UTC 2019  203  78  89  
Thu Feb 14 04:23:44 UTC 2019  203  68  73  
Thu Feb 14 04:23:57 UTC 2019  203  77  90  
Thu Feb 14 04:24:10 UTC 2019  202  79  73  
Thu Feb 14 04:24:22 UTC 2019  203  88  82  
Thu Feb 14 04:24:35 UTC 2019  203  65  59  
Thu Feb 14 04:24:47 UTC 2019  203  81  60  
Thu Feb 14 04:24:59 UTC 2019  203  78  69  
Thu Feb 14 04:25:11 UTC 2019  202  74  70  
Thu Feb 14 04:25:23 UTC 2019  203  75  88  
Thu Feb 14 04:25:36 UTC 2019  203  67  81  
Thu Feb 14 04:25:48 UTC 2019  203  81  60  
Thu Feb 14 04:26:00 UTC 2019  203  78  70  
Thu Feb 14 04:26:13 UTC 2019  202  50  82  
Thu Feb 14 04:26:26 UTC 2019  203  56  55  
Thu Feb 14 04:26:38 UTC 2019  203  78  83  
Thu Feb 14 04:26:51 UTC 2019  203  74  71  
Thu Feb 14 04:27:03 UTC 2019  203  60  69  
Thu Feb 14 04:27:16 UTC 2019  202  63  83  
Thu Feb 14 04:27:28 UTC 2019  203  79  69  
Thu Feb 14 04:27:40 UTC 2019  203  86  79  
Thu Feb 14 04:27:53 UTC 2019  203  55  77  
Thu Feb 14 04:28:06 UTC 2019  203  81  84  
Thu Feb 14 04:28:19 UTC 2019  202  82  89  
Thu Feb 14 04:28:32 UTC 2019  202  72  82  
Thu Feb 14 04:28:45 UTC 2019  203  76  91  
Thu Feb 14 04:28:58 UTC 2019  203  78  76  
Thu Feb 14 04:29:11 UTC 2019  203  84  68  
Thu Feb 14 04:29:24 UTC 2019  202  85  83  
Thu Feb 14 04:29:36 UTC 2019  203  90  76  
Thu Feb 14 04:29:49 UTC 2019  203  82  71  
Thu Feb 14 04:30:02 UTC 2019  203  67  78  
Thu Feb 14 04:30:14 UTC 2019  203  84  88  
Thu Feb 14 04:30:27 UTC 2019  202  70  77  
Thu Feb 14 04:30:39 UTC 2019  203  82  84  
Thu Feb 14 04:30:52 UTC 2019  203  76  59  
Thu Feb 14 04:31:05 UTC 2019  203  86  81  
Thu Feb 14 04:31:18 UTC 2019  203  65  72  
Thu Feb 14 04:31:30 UTC 2019  201  65  72  
Thu Feb 14 04:31:42 UTC 2019  203  75  69  
Thu Feb 14 04:31:55 UTC 2019  203  89  89  
Thu Feb 14 04:32:08 UTC 2019  203  86  82  
Thu Feb 14 04:32:20 UTC 2019  203  81  52  
Thu Feb 14 04:32:32 UTC 2019  202  23  49  
Thu Feb 14 04:32:44 UTC 2019  202  62  29  
Thu Feb 14 04:32:55 UTC 2019  202  50  69  
Thu Feb 14 04:33:06 UTC 2019  202  47  30  
Thu Feb 14 04:33:18 UTC 2019  202  29  47  
Thu Feb 14 04:33:29 UTC 2019  202  42  24  
Thu Feb 14 04:33:41 UTC 2019  202  42  31  
Thu Feb 14 04:33:52 UTC 2019  202  33  47  
Thu Feb 14 04:34:03 UTC 2019  202  28  47  
Thu Feb 14 04:34:14 UTC 2019  202  33  38  
Thu Feb 14 04:34:25 UTC 2019  202  33  38  
Thu Feb 14 04:34:37 UTC 2019  202  33  31  
Thu Feb 14 04:34:48 UTC 2019  202  31  38  
Thu Feb 14 04:34:59 UTC 2019  202  33  42  
Thu Feb 14 04:35:10 UTC 2019  202  19  27  
Thu Feb 14 04:35:22 UTC 2019  202  30  18  
Thu Feb 14 04:35:33 UTC 2019  202  28  53  
Thu Feb 14 04:35:44 UTC 2019  202  33  29  
Thu Feb 14 04:35:55 UTC 2019  202  42  33  
Thu Feb 14 04:36:07 UTC 2019  202  53  26  
Thu Feb 14 04:36:18 UTC 2019  202  35  31  
Thu Feb 14 04:36:29 UTC 2019  202  20  22  
Thu Feb 14 04:36:40 UTC 2019  202  44  29  
Thu Feb 14 04:36:51 UTC 2019  202  50  36  
Thu Feb 14 04:37:03 UTC 2019  202  33  36  
Thu Feb 14 04:37:14 UTC 2019  202  26  26  
Thu Feb 14 04:37:25 UTC 2019  202  22  17  
Thu Feb 14 04:37:36 UTC 2019  202  28  30  
Thu Feb 14 04:37:48 UTC 2019  202  33  31  
Thu Feb 14 04:37:59 UTC 2019  202  26  33  
Thu Feb 14 04:38:10 UTC 2019  202  19  28  
Thu Feb 14 04:38:21 UTC 2019  202  24  28  
Thu Feb 14 04:38:33 UTC 2019  202  24  30  
Thu Feb 14 04:38:44 UTC 2019  202  47  31  
Thu Feb 14 04:38:55 UTC 2019  202  38  42  
Thu Feb 14 04:39:07 UTC 2019  202  36  19  
Thu Feb 14 04:39:18 UTC 2019  202  26  24  
Thu Feb 14 04:39:29 UTC 2019  202  28  31  
Thu Feb 14 04:39:40 UTC 2019  202  31  31  
Thu Feb 14 04:39:51 UTC 2019  202  50  38  
Thu Feb 14 04:40:03 UTC 2019  202  30  22  
Thu Feb 14 04:40:14 UTC 2019  202  27  28  
Thu Feb 14 04:40:25 UTC 2019  202  38  31  
Thu Feb 14 04:40:36 UTC 2019  202  38  42  
Thu Feb 14 04:40:48 UTC 2019  202  33  33  
Thu Feb 14 04:40:59 UTC 2019  202  25  38  
Thu Feb 14 04:41:10 UTC 2019  202  39  22  
Thu Feb 14 04:41:21 UTC 2019  202  33  31  
Thu Feb 14 04:41:33 UTC 2019  201  25  38  
Thu Feb 14 04:41:44 UTC 2019  202  31  43  
Thu Feb 14 04:41:55 UTC 2019  202  37  30  
Thu Feb 14 04:42:06 UTC 2019  202  35  21  
Thu Feb 14 04:42:18 UTC 2019  202  33  36  
Thu Feb 14 04:42:29 UTC 2019  202  25  44  
Thu Feb 14 04:42:40 UTC 2019  202  28  31  
Thu Feb 14 04:42:51 UTC 2019  202  26  28  
Thu Feb 14 04:43:03 UTC 2019  202  36  30  
Thu Feb 14 04:43:14 UTC 2019  202  24  28  
Thu Feb 14 04:43:25 UTC 2019  202  32  46  
Thu Feb 14 04:43:36 UTC 2019  202  42  31  
Thu Feb 14 04:43:48 UTC 2019  202  29  22  
Thu Feb 14 04:43:59 UTC 2019  201  33  44  
Thu Feb 14 04:44:10 UTC 2019  202  36  41  
Thu Feb 14 04:44:21 UTC 2019  202  33  33  
Thu Feb 14 04:44:33 UTC 2019  202  33  36  
Thu Feb 14 04:44:44 UTC 2019  202  33  31  
Thu Feb 14 04:44:55 UTC 2019  202  27  30  
Thu Feb 14 04:45:06 UTC 2019  202  33  50  
Thu Feb 14 04:45:18 UTC 2019  202  33  33  
Thu Feb 14 04:45:29 UTC 2019  202  31  42  
Thu Feb 14 04:45:40 UTC 2019  202  24  22  
Thu Feb 14 04:45:51 UTC 2019  202  26  28  
Thu Feb 14 04:46:03 UTC 2019  202  42  23  
Thu Feb 14 04:46:14 UTC 2019  202  33  21  
Thu Feb 14 04:46:25 UTC 2019  202  42  36  
Thu Feb 14 04:46:36 UTC 2019  202  30  24  
Thu Feb 14 04:46:48 UTC 2019  202  39  24  
Thu Feb 14 04:46:59 UTC 2019  202  36  31  
Thu Feb 14 04:47:10 UTC 2019  202  31  24  
Thu Feb 14 04:47:21 UTC 2019  202  33  26  
Thu Feb 14 04:47:33 UTC 2019  202  50  59  
Thu Feb 14 04:47:44 UTC 2019  202  22  24  
Thu Feb 14 04:47:55 UTC 2019  202  28  29  
Thu Feb 14 04:48:06 UTC 2019  202  40  51  
Thu Feb 14 04:48:18 UTC 2019  202  36  47  
Thu Feb 14 04:48:29 UTC 2019  202  50  42  
Thu Feb 14 04:48:40 UTC 2019  202  30  30  
Thu Feb 14 04:48:52 UTC 2019  202  27  24  
Thu Feb 14 04:49:03 UTC 2019  202  30  33  
Thu Feb 14 04:49:14 UTC 2019  202  28  38  
Thu Feb 14 04:49:25 UTC 2019  202  31  38  
Thu Feb 14 04:49:36 UTC 2019  202  29  36  
Thu Feb 14 04:49:48 UTC 2019  202  31  33  
Thu Feb 14 04:49:59 UTC 2019  202  24  31  
Thu Feb 14 04:50:10 UTC 2019  202  36  33  
Thu Feb 14 04:50:22 UTC 2019  202  33  33  
Thu Feb 14 04:50:33 UTC 2019  202  34  31  
Thu Feb 14 04:50:44 UTC 2019  202  39  29  
Thu Feb 14 04:50:55 UTC 2019  202  28  33  
Thu Feb 14 04:51:06 UTC 2019  202  33  35  
Thu Feb 14 04:51:18 UTC 2019  202  28  30  
Thu Feb 14 04:51:29 UTC 2019  201  42  42  
Thu Feb 14 04:51:40 UTC 2019  202  22  37  
Thu Feb 14 04:51:52 UTC 2019  201  28  31  
Thu Feb 14 04:52:03 UTC 2019  202  31  33  
Thu Feb 14 04:52:14 UTC 2019  202  28  38  
Thu Feb 14 04:52:25 UTC 2019  202  28  30  
Thu Feb 14 04:52:37 UTC 2019  202  38  28  
Thu Feb 14 04:52:48 UTC 2019  202  17  33  
Thu Feb 14 04:52:59 UTC 2019  202  30  18  
Thu Feb 14 04:53:10 UTC 2019  202  24  22  
Thu Feb 14 04:53:22 UTC 2019  202  34  32  
Thu Feb 14 04:53:33 UTC 2019  202  33  42  
Thu Feb 14 04:53:44 UTC 2019  202  36  53  
Thu Feb 14 04:53:55 UTC 2019  202  22  33  
Thu Feb 14 04:54:07 UTC 2019  202  30  27  
Thu Feb 14 04:54:18 UTC 2019  202  36  28  
Thu Feb 14 04:54:29 UTC 2019  202  32  29  
Thu Feb 14 04:54:40 UTC 2019  202  33  46  
Thu Feb 14 04:54:52 UTC 2019  202  30  28  
Thu Feb 14 04:55:03 UTC 2019  202  33  29  
Thu Feb 14 04:55:14 UTC 2019  202  33  18  
Thu Feb 14 04:55:25 UTC 2019  202  19  36  
Thu Feb 14 04:55:36 UTC 2019  202  42  42  
Thu Feb 14 04:55:48 UTC 2019  202  31  50  
Thu Feb 14 04:55:59 UTC 2019  202  22  26  
Thu Feb 14 04:56:10 UTC 2019  202  28  33  
